"model","layer","n_layers","n_rows","beta","se","chi2","p","daic","sig","layer_pct"
"eleutherai_pythia_12b_deduped",8,36,45879,-0.0167074152546066,0.00192049163833728,74.722173618662,5.41841252755943e-18,72.722173618662,"***",0.228571428571429
"eleutherai_pythia_12b_deduped",9,36,45879,-0.0165477418681856,0.0018034546544283,83.0113183129724,8.15849105419088e-20,81.0113183129724,"***",0.257142857142857
"eleutherai_pythia_12b_deduped",10,36,45879,-0.0175813187423325,0.00173621794884271,100.842620840369,9.95901395966876e-24,98.8426208403689,"***",0.285714285714286
"eleutherai_pythia_12b_deduped",11,36,45879,-0.0177644576830981,0.00167614983024443,110.435945447403,7.86460141359652e-26,108.435945447403,"***",0.314285714285714
"eleutherai_pythia_12b_deduped",12,36,45879,-0.0171269718804231,0.0016424167799219,106.988681834453,4.47719037790785e-25,104.988681834453,"***",0.342857142857143
"eleutherai_pythia_12b_deduped",13,36,45879,-0.0179660985930028,0.00162050584085213,120.562788065479,4.76350046477049e-28,118.562788065479,"***",0.371428571428571
"eleutherai_pythia_12b_deduped",14,36,45879,-0.0177939580003596,0.00156484837833014,126.780614403076,2.0748777399961e-29,124.780614403076,"***",0.4
"eleutherai_pythia_12b_deduped",15,36,45879,-0.0185290448313112,0.00157393471400171,135.704990756785,2.3149118647725e-31,133.704990756785,"***",0.428571428571429
"eleutherai_pythia_12b_deduped",16,36,45879,-0.0193848173672975,0.00150007672144057,162.817262363387,2.74247659209486e-37,160.817262363387,"***",0.457142857142857
"eleutherai_pythia_12b_deduped",17,36,45879,-0.0195707185644974,0.00148042563332915,170.238960900868,6.5610787885843e-39,168.238960900868,"***",0.485714285714286
"eleutherai_pythia_12b_deduped",18,36,45879,-0.0196764790121,0.00143568613344642,182.942808661217,1.10385975642832e-41,180.942808661217,"***",0.514285714285714
"eleutherai_pythia_12b_deduped",19,36,45879,-0.0203222042193213,0.0013983320167153,205.055310051481,1.64708880015784e-46,203.055310051481,"***",0.542857142857143
"eleutherai_pythia_12b_deduped",20,36,45879,-0.0201068135274214,0.0013443574719569,217.01040477815,4.05985398183688e-49,215.01040477815,"***",0.571428571428571
"eleutherai_pythia_12b_deduped",21,36,45879,-0.019760797360753,0.00127246348261914,233.689578664314,9.34833338258074e-53,231.689578664314,"***",0.6
"eleutherai_pythia_12b_deduped",22,36,45879,-0.0197191044264853,0.00127317705607423,232.503552150039,1.69579039429819e-52,230.503552150039,"***",0.628571428571429
"eleutherai_pythia_12b_deduped",23,36,45879,-0.018931979998767,0.00122605231539234,231.241058791245,3.19662327382168e-52,229.241058791245,"***",0.657142857142857
"eleutherai_pythia_12b_deduped",24,36,45879,-0.0187481676205916,0.0012053938853461,234.495238703559,6.23801260947578e-53,232.495238703559,"***",0.685714285714286
"eleutherai_pythia_12b_deduped",25,36,45879,-0.0185264311438323,0.00117932889604722,239.222005911492,5.8122473223597e-54,237.222005911492,"***",0.714285714285714
"eleutherai_pythia_12b_deduped",26,36,45879,-0.0180158953934695,0.00115151376717574,237.518185123787,1.36729882950707e-53,235.518185123787,"***",0.742857142857143
"eleutherai_pythia_12b_deduped",27,36,45879,-0.0181699785309027,0.00114201407299975,245.300300078219,2.74824145188727e-55,243.300300078219,"***",0.771428571428571
"eleutherai_pythia_12b_deduped",28,36,45879,-0.017651630593674,0.00113622037520984,234.499712561563,6.22401533679037e-53,232.499712561563,"***",0.8
"eleutherai_pythia_12b_deduped",29,36,45879,-0.017632894535906,0.00113851782096513,233.195958031618,1.19778221900788e-52,231.195958031618,"***",0.828571428571429
"eleutherai_pythia_12b_deduped",30,36,45879,-0.0180593247867986,0.00115210685837393,238.640314367934,7.78361098150989e-54,236.640314367934,"***",0.857142857142857
"eleutherai_pythia_12b_deduped",31,36,45879,-0.0180140894563499,0.00115698690260918,235.675276383423,3.44923993652004e-53,233.675276383423,"***",0.885714285714286
"eleutherai_pythia_12b_deduped",32,36,45879,-0.0178319249506498,0.00113988057072738,237.906597446548,1.12504240535712e-53,235.906597446548,"***",0.914285714285714
"eleutherai_pythia_12b_deduped",33,36,45879,-0.0182108491760031,0.00117376997108118,234.256117965517,7.0338054026457e-53,232.256117965517,"***",0.942857142857143
"eleutherai_pythia_12b_deduped",34,36,45879,-0.0179666310014641,0.00118308738909446,224.890464671189,7.75711971807568e-51,222.890464671189,"***",0.971428571428571
"eleutherai_pythia_12b_deduped",35,36,45879,-0.0160866114688069,0.00104034637593061,232.738897757852,1.50677942237805e-52,230.738897757852,"***",1
"eleutherai_pythia_2.8b_deduped",0,32,45879,-0.00429279088180492,0.00155833334543946,7.5798423326487,0.00590246027624142,5.5798423326487,"**",0
"eleutherai_pythia_2.8b_deduped",1,32,45879,-0.0109730218528969,0.00230486171373282,22.6063429143978,1.98827102740272e-06,20.6063429143978,"***",0.032258064516129
"eleutherai_pythia_2.8b_deduped",2,32,45879,-0.0101950305886289,0.0020346308216944,25.0232521927101,5.66430876030005e-07,23.0232521927101,"***",0.0645161290322581
"eleutherai_pythia_2.8b_deduped",3,32,45879,-0.012217633684088,0.00203022391416806,36.0197089603753,1.95331779742395e-09,34.0197089603753,"***",0.0967741935483871
