stim_id,dataset,critical_word,word_length,word_position,zipf_freq,log10_word_freq,coltheart_n
1434,frank_2015,and,3,3,7.41,-1.5900668597700878,15
1435,frank_2015,shook,5,4,4.05,-4.9507432027677725,12
1436,frank_2015,his,3,5,6.51,-2.4894548557519016,15
1437,frank_2015,head,4,6,5.51,-3.4894536493803887,18
1438,frank_2015,stopped,7,1,4.84,-4.159887629656769,3
1439,frank_2015,off,3,2,5.93,-3.0700699295814204,5
1440,frank_2015,at,2,3,6.7,-2.3001621874472375,24
1441,frank_2015,his,3,4,6.51,-2.4894548557519016,15
1442,frank_2015,first,5,5,6.11,-2.8894099530384927,1
1443,frank_2015,delivery,8,6,4.59,-4.410039234435223,0
1444,frank_2015,getting,7,1,5.57,-3.429455892661387,7
1445,frank_2015,up,2,2,6.39,-2.61083373837245,7
1446,frank_2015,early,5,3,5.43,-3.570246105522965,5
1447,frank_2015,in,2,4,7.27,-1.7304870324329187,14
1448,frank_2015,the,3,5,7.73,-1.270025706213024,14
1449,frank_2015,morning,7,6,5.33,-3.669584197242084,7
1450,frank_2015,sat,3,1,4.64,-4.3595086250544535,56
1451,frank_2015,down,4,2,5.88,-3.1197576519119035,16
1452,frank_2015,and,3,3,7.41,-1.5900668597700878,15
1453,frank_2015,began,5,4,5.07,-3.9318104263510523,12
1454,frank_2015,to,2,5,7.43,-1.570247703852816,37
1455,frank_2015,eat,3,6,5.13,-3.8696630145207465,34
1456,frank_2015,breakfast,9,7,4.61,-4.390394920279776,0
1457,frank_2015,saw,3,1,5.34,-3.6595539020845833,42
1458,frank_2015,the,3,2,7.73,-1.270025706213024,14
1459,frank_2015,throwing,8,3,4.4,-4.600308976294626,0
1460,frank_2015,knife,5,4,4.41,-4.590049978379491,0
1461,frank_2015,in,2,5,7.27,-1.7304870324329187,14
1462,frank_2015,his,3,6,6.51,-2.4894548557519016,15
1463,frank_2015,hand,4,7,5.41,-3.590065186810196,23
1464,frank_2015,is,2,1,7.07,-1.9318141011346535,16
1465,frank_2015,a,1,2,7.36,-1.640164498695288,51
1466,frank_2015,narrow,6,3,4.39,-4.610816189691835,7
1467,frank_2015,ship,4,4,4.93,-4.070065336602483,17
1468,frank_2015,much,4,5,6.0,-2.9999995657057354,6
1469,frank_2015,like,4,6,6.41,-2.5900667076825585,24
1470,frank_2015,our,3,7,6.14,-2.860120598892731,16
1471,frank_2015,own,3,8,5.74,-3.2596365208801434,5
1472,frank_2015,get,3,1,6.28,-2.7189664053730223,34
1473,frank_2015,out,3,2,6.38,-2.6197885773323977,22
1474,frank_2015,and,3,3,7.41,-1.5900668597700878,15
1475,frank_2015,I'll,4,4,5.43,-3.570246105522965,0
1476,frank_2015,buy,3,5,5.32,-3.679851635929889,16
1477,frank_2015,you,3,6,6.98,-2.019996582940394,17
1478,frank_2015,a,1,7,7.36,-1.640164498695288,51
1479,frank_2015,drink,5,8,4.9,-4.100174027903545,9
1480,frank_2015,been,4,1,6.27,-2.7304868222904894,17
1481,frank_2015,travelling,10,2,4.16,-4.838602047454203,0
1482,frank_2015,almost,6,3,5.39,-3.6108321430085466,0
1483,frank_2015,three,5,4,5.78,-3.2196819676374244,4
1484,frank_2015,days,4,5,5.61,-3.3904045237134817,3
1485,frank_2015,forgot,6,1,4.63,-4.369561954263113,2
1486,frank_2015,to,2,2,7.43,-1.570247703852816,37
1487,frank_2015,shave,5,3,3.83,-5.169989064063882,20
1488,frank_2015,again,5,4,5.7,-3.3001614072783663,4
1489,frank_2015,this,4,5,6.82,-2.17979847481172,7
1490,frank_2015,morning,7,6,5.33,-3.669584197242084,7
1491,frank_2015,a,1,1,7.36,-1.640164498695288,51
1492,frank_2015,carriage,8,2,3.85,-5.149905405613299,1
1493,frank_2015,sent,4,3,5.16,-3.838629002640995,31
1494,frank_2015,for,3,4,7.01,-1.9913997856601942,29
1495,frank_2015,us,2,5,6.04,-2.9586069200287892,15
1496,frank_2015,immediately,11,6,4.98,-4.019992080853865,0
1497,frank_2015,probably,8,1,5.37,-3.6307822866344983,3
1498,frank_2015,doesn't,7,2,5.53,-3.469799020694141,0
1499,frank_2015,want,4,3,6.04,-2.9586069200287892,26
1500,frank_2015,people,6,4,6.25,-2.7495797537055107,0
1501,frank_2015,to,2,5,7.43,-1.570247703852816,37
1502,frank_2015,know,4,6,6.1,-2.8996291102044136,9
1503,frank_2015,lunch,5,1,4.66,-4.340074296872592,11
1504,frank_2015,he,2,2,6.69,-2.3098038313399685,23
1505,frank_2015,was,3,3,6.82,-2.17979847481172,28
1506,frank_2015,told,4,4,5.54,-3.4596692736418175,21
1507,frank_2015,had,3,6,6.33,-2.6695860237095097,33
1508,frank_2015,visitors,8,7,4.49,-4.510027465964983,0
1509,frank_2015,staggered,9,1,3.21,-5.790216985151485,1
1510,frank_2015,into,4,2,6.11,-2.8894099530384927,3
1511,frank_2015,the,3,3,7.73,-1.270025706213024,14
1512,frank_2015,chair,5,4,4.69,-4.309795056909233,8
1513,frank_2015,at,2,5,6.7,-2.3001621874472375,24
1514,frank_2015,his,3,6,6.51,-2.4894548557519016,15
1515,frank_2015,desk,4,7,4.43,-4.570231575521395,5
1516,frank_2015,us,2,1,6.04,-2.9586069200287892,15
1517,frank_2015,leave,5,2,5.34,-3.6595539020845833,9
1518,frank_2015,these,5,3,6.04,-2.9586069200287892,5
1519,frank_2015,poor,4,4,5.09,-3.9100913577255088,15
1520,frank_2015,in,2,6,7.27,-1.7304870324329187,14
1521,frank_2015,peace,5,7,5.02,-3.9788065648118347,5
1522,frank_2015,people,6,5,6.25,-2.7495797537055107,0
1523,frank_2015,of,2,1,7.4,-1.600326261216393,17
1524,frank_2015,the,3,2,7.73,-1.270025706213024,14
1525,frank_2015,city,4,3,5.61,-3.3904045237134817,3
1526,frank_2015,people,6,4,6.25,-2.7495797537055107,0
1527,frank_2015,dress,5,5,4.76,-4.240324602428535,6
1528,frank_2015,like,4,6,6.41,-2.5900667076825585,24
1529,frank_2015,that,4,7,7.01,-1.9913997856601942,15
1530,frank_2015,your,4,1,6.53,-2.4698001736864703,11
1531,frank_2015,smart,5,2,4.83,-4.170046879631298,9
1532,frank_2015,foul,4,3,4.05,-4.9507432027677725,13
1533,frank_2015,mouth,5,4,4.83,-4.170046879631298,12
1534,frank_2015,and,3,5,7.41,-1.5900668597700878,15
1535,frank_2015,sit,3,6,4.9,-4.100174027903545,34
1536,frank_2015,down,4,7,5.88,-3.1197576519119035,16
1537,frank_2015,just,4,1,6.43,-2.5702475585498594,12
1538,frank_2015,wished,6,2,4.0,-4.999956572723137,4
1539,frank_2015,he,2,0,6.69,-2.3098038313399685,23
